date,visitors,page_views,bounce_rate,session_duration,conversion_rate
2025-07-06,2176,3487,42.3,297.0,8.53
2025-07-07,1407,3375,36.4,240.0,5.64
2025-07-08,1530,4350,63.4,123.0,3.27
2025-07-09,1755,5967,62.5,143.0,4.37
2025-07-10,1596,5341,55.5,148.0,8.13
2025-07-11,2200,5475,47.9,176.0,7.53
2025-07-12,2080,3507,38.4,168.0,3.84
2025-07-13,2083,4410,51.9,258.0,7.17
2025-07-14,1896,5076,64.1,166.0,8.76
2025-07-15,1671,5979,64.5,182.0,2.5
2025-07-16,2250,5281,61.1,217.0,8.24
2025-07-17,1660,4935,42.3,298.0,8.45
2025-07-18,2058,4765,57.9,283.0,5.55
2025-07-19,1561,4945,45.0,160.0,5.7
2025-07-20,2035,3624,53.8,251.0,5.81
2025-07-21,1230,3754,37.2,139.0,6.85
2025-07-22,1573,4354,55.4,198.0,5.64
2025-07-23,1249,3075,42.6,122.0,4.12
2025-07-24,2199,5395,45.7,185.0,8.54
2025-07-25,1203,4342,36.9,209.0,3.54
2025-07-26,1990,4771,49.0,178.0,5.6
2025-07-27,1873,4867,42.2,281.0,3.09
2025-07-28,2136,4069,57.9,260.0,7.24
2025-07-29,2083,4582,35.7,277.0,6.08
2025-07-30,1770,3805,57.9,249.0,2.83
2025-07-31,1836,4863,50.6,139.0,2.86
2025-08-01,1938,4543,56.8,174.0,7.54
2025-08-02,1555,4668,64.3,206.0,7.85
2025-08-03,1591,4453,51.9,151.0,9.43
2025-08-04,2151,5533,55.4,148.0,7.97
